AD,date,reconstructed,data_type_code,century,temp_bin,date_as_date,i,temp_class,id
1221,409,7.7,Poetry,13,>=6 & <9,2022-04-09,14,gte6-and-lt9,149
1223,426,3,Poetry,13,>=3 & <6,2022-04-26,31,gte3-and-lt6,150
1225,415,6,Diary,13,>=6 & <9,2022-04-15,20,gte6-and-lt9,151
1226,416,5.7,Diary,13,>=3 & <6,2022-04-16,21,gte3-and-lt6,152
1227,421,4.3,Diary,13,>=3 & <6,2022-04-21,26,gte3-and-lt6,153
1229,407,8.3,Diary,13,>=6 & <9,2022-04-07,12,gte6-and-lt9,154
1230,412,6.9,Diary,13,>=6 & <9,2022-04-12,17,gte6-and-lt9,155
1231,411,7.2,Diary,13,>=6 & <9,2022-04-11,16,gte6-and-lt9,156
1232,401,9.9,Diary,13,>=9,2022-04-01,6,gte9,157
1233,415,6,Diary,13,>=6 & <9,2022-04-15,20,gte6-and-lt9,158
1235,420,4.6,Diary,13,>=3 & <6,2022-04-20,25,gte3-and-lt6,159
1236,327,11.5,Poetry,13,>=9,2022-03-27,1,gte9,160
1240,415,5.7,Diary,13,>=3 & <6,2022-04-15,20,gte3-and-lt6,161
1244,417,5.2,Diary,13,>=3 & <6,2022-04-17,22,gte3-and-lt6,162
1245,418,5.2,Diary,13,>=3 & <6,2022-04-18,23,gte3-and-lt6,163
1246,408,8,Diary,13,>=6 & <9,2022-04-08,13,gte6-and-lt9,164
1247,416,5.7,Diary,13,>=3 & <6,2022-04-16,21,gte3-and-lt6,165
1249,418,5.2,Diary,13,>=3 & <6,2022-04-18,23,gte3-and-lt6,166
1250,426,3,Diary,13,>=3 & <6,2022-04-26,31,gte3-and-lt6,167
1251,410,7.4,Diary,13,>=6 & <9,2022-04-10,15,gte6-and-lt9,168
1254,420,4.6,Diary,13,>=3 & <6,2022-04-20,25,gte3-and-lt6,169
1257,404,9.3,Diary,13,>=9,2022-04-04,9,gte9,170
1259,406,8.6,Diary,13,>=6 & <9,2022-04-06,11,gte6-and-lt9,171
1262,407,8.3,Phenology,13,>=6 & <9,2022-04-07,12,gte6-and-lt9,172
1263,430,2,Diary,13,<3,2022-04-30,35,lt3,173
1264,412,6.6,Diary,13,>=6 & <9,2022-04-12,17,gte6-and-lt9,174
1265,408,8,Poetry,13,>=6 & <9,2022-04-08,13,gte6-and-lt9,175
1267,415,6,Diary,13,>=6 & <9,2022-04-15,20,gte6-and-lt9,176
1268,412,6.6,Poetry,13,>=6 & <9,2022-04-12,17,gte6-and-lt9,177
1269,410,7.4,Poetry,13,>=6 & <9,2022-04-10,15,gte6-and-lt9,178
1271,410,7.4,Poetry,13,>=6 & <9,2022-04-10,15,gte6-and-lt9,179
1275,417,5.4,Diary,13,>=3 & <6,2022-04-17,22,gte3-and-lt6,180
1278,423,3.8,Diary,13,>=3 & <6,2022-04-23,28,gte3-and-lt6,181
1279,411,7.2,Diary,13,>=6 & <9,2022-04-11,16,gte6-and-lt9,182
1280,411,6.9,Diary,13,>=6 & <9,2022-04-11,16,gte6-and-lt9,183
1283,413,6.6,Diary,13,>=6 & <9,2022-04-13,18,gte6-and-lt9,184
1284,411,6.9,Diary,13,>=6 & <9,2022-04-11,16,gte6-and-lt9,185
1285,415,6,Diary,13,>=6 & <9,2022-04-15,20,gte6-and-lt9,186
1286,422,4.1,Diary,13,>=3 & <6,2022-04-22,27,gte3-and-lt6,187
1287,420,4.6,Diary,13,>=3 & <6,2022-04-20,25,gte3-and-lt6,188
1288,417,5.2,Diary,13,>=3 & <6,2022-04-17,22,gte3-and-lt6,189
1289,417,5.4,Poetry,13,>=3 & <6,2022-04-17,22,gte3-and-lt6,190
1292,416,5.4,Diary,13,>=3 & <6,2022-04-16,21,gte3-and-lt6,191
1294,411,7.2,Diary,13,>=6 & <9,2022-04-11,16,gte6-and-lt9,192
1295,412,6.9,Diary,13,>=6 & <9,2022-04-12,17,gte6-and-lt9,193
1301,405,8.9,Poetry,14,>=6 & <9,2022-04-05,10,gte6-and-lt9,194
1302,406,8.6,Diary,14,>=6 & <9,2022-04-06,11,gte6-and-lt9,195
1307,414,6.3,Diary,14,>=6 & <9,2022-04-14,19,gte6-and-lt9,196
1311,404,9.3,Diary,14,>=9,2022-04-04,9,gte9,197
1312,409,7.4,Diary,14,>=6 & <9,2022-04-09,14,gte6-and-lt9,198
1314,411,7.2,Diary,14,>=6 & <9,2022-04-11,16,gte6-and-lt9,199
1315,421,4.3,Diary,14,>=3 & <6,2022-04-21,26,gte3-and-lt6,200
1316,412,6.6,Diary,14,>=6 & <9,2022-04-12,17,gte6-and-lt9,201
1317,412,6.9,Diary,14,>=6 & <9,2022-04-12,17,gte6-and-lt9,202
1319,426,3,Diary,14,>=3 & <6,2022-04-26,31,gte3-and-lt6,203
1321,412,6.9,Diary,14,>=6 & <9,2022-04-12,17,gte6-and-lt9,204
1322,416,5.7,Diary,14,>=3 & <6,2022-04-16,21,gte3-and-lt6,205
1323,504,1,Diary,14,<3,2022-05-04,39,lt3,206
1324,407,8,Poetry,14,>=6 & <9,2022-04-07,12,gte6-and-lt9,207
1326,417,5.4,Diary,14,>=3 & <6,2022-04-17,22,gte3-and-lt6,208
1329,422,4.1,Phenology,14,>=3 & <6,2022-04-22,27,gte3-and-lt6,209
1330,418,5.2,Poetry,14,>=3 & <6,2022-04-18,23,gte3-and-lt6,210
1331,422,4.1,Diary,14,>=3 & <6,2022-04-22,27,gte3-and-lt6,211
1332,424,3.2,Diary,14,>=3 & <6,2022-04-24,29,gte3-and-lt6,212
1342,420,4.6,Diary,14,>=3 & <6,2022-04-20,25,gte3-and-lt6,213
1344,411,6.9,Diary,14,>=6 & <9,2022-04-11,16,gte6-and-lt9,214
1346,417,5.4,Diary,14,>=3 & <6,2022-04-17,22,gte3-and-lt6,215
1347,419,4.9,Diary,14,>=3 & <6,2022-04-19,24,gte3-and-lt6,216
1349,422,4.1,Diary,14,>=3 & <6,2022-04-22,27,gte3-and-lt6,217
1350,411,7.2,Diary,14,>=6 & <9,2022-04-11,16,gte6-and-lt9,218
1351,425,3.2,Diary,14,>=3 & <6,2022-04-25,30,gte3-and-lt6,219
1356,426,2.7,Diary,14,<3,2022-04-26,31,lt3,220
1357,417,5.4,Diary,14,>=3 & <6,2022-04-17,22,gte3-and-lt6,221
1358,420,4.6,Diary,14,>=3 & <6,2022-04-20,25,gte3-and-lt6,222
1359,415,6,Diary,14,>=6 & <9,2022-04-15,20,gte6-and-lt9,223
1360,410,7.2,Diary,14,>=6 & <9,2022-04-10,15,gte6-and-lt9,224
1361,418,5.2,Diary,14,>=3 & <6,2022-04-18,23,gte3-and-lt6,225
1363,417,5.4,Diary,14,>=3 & <6,2022-04-17,22,gte3-and-lt6,226
1364,419,4.6,Diary,14,>=3 & <6,2022-04-19,24,gte3-and-lt6,227
1366,422,4.1,Diary,14,>=3 & <6,2022-04-22,27,gte3-and-lt6,228
1367,407,8.3,Diary,14,>=6 & <9,2022-04-07,12,gte6-and-lt9,229
1368,328,11.2,Diary,14,>=9,2022-03-28,2,gte9,230
1369,404,9.3,Diary,14,>=9,2022-04-04,9,gte9,231
1370,419,4.9,Diary,14,>=3 & <6,2022-04-19,24,gte3-and-lt6,232
1372,411,6.9,Phenology,14,>=6 & <9,2022-04-11,16,gte6-and-lt9,233
1373,420,4.6,Diary,14,>=3 & <6,2022-04-20,25,gte3-and-lt6,234
1375,413,6.6,Diary,14,>=6 & <9,2022-04-13,18,gte6-and-lt9,235
1376,408,7.7,Diary,14,>=6 & <9,2022-04-08,13,gte6-and-lt9,236
1377,415,6,Diary,14,>=6 & <9,2022-04-15,20,gte6-and-lt9,237
1378,414,6.3,Diary,14,>=6 & <9,2022-04-14,19,gte6-and-lt9,238
1379,413,6.6,Diary,14,>=6 & <9,2022-04-13,18,gte6-and-lt9,239
1380,411,6.9,Phenology,14,>=6 & <9,2022-04-11,16,gte6-and-lt9,240
1381,418,5.2,Diary,14,>=3 & <6,2022-04-18,23,gte3-and-lt6,241
1382,415,6,Diary,14,>=6 & <9,2022-04-15,20,gte6-and-lt9,242
1383,412,6.9,Diary,14,>=6 & <9,2022-04-12,17,gte6-and-lt9,243
1384,407,8,Diary,14,>=6 & <9,2022-04-07,12,gte6-and-lt9,244
1385,409,7.7,Diary,14,>=6 & <9,2022-04-09,14,gte6-and-lt9,245
1386,415,6,Diary,14,>=6 & <9,2022-04-15,20,gte6-and-lt9,246
1387,410,7.4,Diary,14,>=6 & <9,2022-04-10,15,gte6-and-lt9,247
1388,408,7.7,Diary,14,>=6 & <9,2022-04-08,13,gte6-and-lt9,248
1398,416,5.7,Diary,14,>=3 & <6,2022-04-16,21,gte3-and-lt6,249
1401,411,7.2,Diary,15,>=6 & <9,2022-04-11,16,gte6-and-lt9,250
1402,413,6.6,Diary,15,>=6 & <9,2022-04-13,18,gte6-and-lt9,251
1403,414,6.3,Diary,15,>=6 & <9,2022-04-14,19,gte6-and-lt9,252
